"activity" "subject" "mean"
"WALKING_DOWNSTAIRS" 25 -0.429924410531157
"WALKING_DOWNSTAIRS" 26 -0.322473123490661
"WALKING_DOWNSTAIRS" 27 -0.312446129792811
"WALKING_DOWNSTAIRS" 28 -0.291650876955502
"WALKING_DOWNSTAIRS" 29 -0.31726279115201
"WALKING_DOWNSTAIRS" 30 -0.358790607945901
"SITTING" 1 -0.633405230612481
"SITTING" 2 -0.640597914078914
"SITTING" 3 -0.622780836987975
"SITTING" 4 -0.627074988752137
"SITTING" 5 -0.627014833570021
"SITTING" 6 -0.625412957710496
"SITTING" 7 -0.628833138374792
"SITTING" 8 -0.637726458982249
"SITTING" 9 -0.627530823653232
"SITTING" 10 -0.640078551091241
"SITTING" 11 -0.636081608692103
"SITTING" 12 -0.636301750626951
"SITTING" 13 -0.638179130162868
"SITTING" 14 -0.639930771868791
"SITTING" 15 -0.641496217339585
"SITTING" 16 -0.642254023210701
"SITTING" 17 -0.643707360983648
"SITTING" 18 -0.650240242162375
"SITTING" 19 -0.638986666530727
"SITTING" 20 -0.639872725383092
"SITTING" 21 -0.644724493205524
"SITTING" 22 -0.634015600138589
"SITTING" 23 -0.632843540612456
"SITTING" 24 -0.646619496620551
"SITTING" 25 -0.645307467575153
"SITTING" 26 -0.642718508921569
"SITTING" 27 -0.647329814034974
"SITTING" 28 -0.637322526513564
"SITTING" 29 -0.644100724926612
"SITTING" 30 -0.646017901904583
"STANDING" 1 -0.647424789141436
"STANDING" 2 -0.636454993012462
"STANDING" 3 -0.626824657789309
"STANDING" 4 -0.618583772157932
"STANDING" 5 -0.618821537531601
"STANDING" 6 -0.629253160586122
"STANDING" 7 -0.63369010626409
"STANDING" 8 -0.639463722621354
"STANDING" 9 -0.633713631013694
"STANDING" 10 -0.630886542166037
"STANDING" 11 -0.648374467923916
"STANDING" 12 -0.627684013763497
"STANDING" 13 -0.639297749080434
"STANDING" 14 -0.633771114374627
"STANDING" 15 -0.640037091389994
"STANDING" 16 -0.646538416475197
"STANDING" 17 -0.644675070329398
"STANDING" 18 -0.645518459042212
"STANDING" 19 -0.640136697217531
"STANDING" 20 -0.620027732157146
"STANDING" 21 -0.638450214241584
"STANDING" 22 -0.635992094486953
"STANDING" 23 -0.637024168810267
"STANDING" 24 -0.634194893841734
"STANDING" 25 -0.645297950751058
"STANDING" 26 -0.644004547265191
"STANDING" 27 -0.644356212162637
"STANDING" 28 -0.627883524309929
"STANDING" 29 -0.650245278868483
"STANDING" 30 -0.630635453342216
"LAYING" 1 -0.607522391836014
"LAYING" 2 -0.639973837827844
"LAYING" 3 -0.641445804875381
"LAYING" 4 -0.630875080725603
"LAYING" 5 -0.631793505517319
"LAYING" 6 -0.619421431071453
"LAYING" 7 -0.628303269447471
"LAYING" 8 -0.627089533537997
"LAYING" 9 -0.628414047268328
"LAYING" 10 -0.633606314208568
"LAYING" 11 -0.643553031373099
"LAYING" 12 -0.63012919397725
"LAYING" 13 -0.624337936876007
"LAYING" 14 -0.628355645282404
"LAYING" 15 -0.639883147448173
"LAYING" 16 -0.635906117499551
"LAYING" 17 -0.629876420657766
"LAYING" 18 -0.645039855011435
"LAYING" 19 -0.632999218754884
"LAYING" 20 -0.644397438696908
"LAYING" 21 -0.63110876443376
"LAYING" 22 -0.632109081483277
"LAYING" 23 -0.628089473591726
"LAYING" 24 -0.634203387560794
"LAYING" 25 -0.589506698496036
"LAYING" 26 -0.640679888089531
"LAYING" 27 -0.645993647892745
"LAYING" 28 -0.640518710327799
"LAYING" 29 -0.646324698842316
"LAYING" 30 -0.642625296795821
